Biome,Deforestation Area (ha),Year or Range,Dataset
Amaz�nia,32136.37399894608,2010,GFW
Caatinga,8948.220096133578,2010,GFW
Cerrado,134011.17918507353,2010,GFW
Mata Atl�ntica,21345.6443071875,2010,GFW
Pampa,712.201465625,2010,GFW
Pantanal,10.789484620098039,2010,GFW
Amaz�nia,25002.086860177697,2011,GFW
Caatinga,2858.69748125,2011,GFW
Cerrado,52226.81456989583,2011,GFW
Mata Atl�ntica,15100.28685344363,2011,GFW
Pampa,1122.013125,2011,GFW
Pantanal,0.0,2011,GFW
Amaz�nia,42003.893206580884,2012,GFW
Caatinga,7029.730475,2012,GFW
Cerrado,151949.000134663,2012,GFW
Mata Atl�ntica,30259.6491298223,2012,GFW
Pampa,2687.3217203247546,2012,GFW
Pantanal,0.0,2012,GFW
Amaz�nia,22001.00653949142,2013,GFW
Caatinga,5272.673100625,2013,GFW
Cerrado,50214.50648123163,2013,GFW
Mata Atl�ntica,31315.752077126217,2013,GFW
Pampa,3762.9922349080884,2013,GFW
Pantanal,0.0,2013,GFW
Amaz�nia,34032.89548860907,2014,GFW
Caatinga,8497.369052230393,2014,GFW
Cerrado,54595.107524473045,2014,GFW
Mata Atl�ntica,49055.79722545344,2014,GFW
Pampa,4225.181792132353,2014,GFW
Pantanal,47.415778125,2014,GFW
Amaz�nia,30071.07339053309,2015,GFW
Caatinga,6742.3996578125,2015,GFW
Cerrado,43667.979665508574,2015,GFW
Mata Atl�ntica,40389.42227559436,2015,GFW
Pampa,3805.512141740196,2015,GFW
Pantanal,60.8223059375,2015,GFW
Amaz�nia,40406.466649289214,2016,GFW
Caatinga,13782.840318639704,2016,GFW
Cerrado,61790.34538541053,2016,GFW
Mata Atl�ntica,63466.142792757346,2016,GFW
Pampa,4774.7588283823525,2016,GFW
Pantanal,23.8599953125,2016,GFW
Amaz�nia,49913.18513759803,2017,GFW
Caatinga,14279.909867340686,2017,GFW
Cerrado,58600.969004276965,2017,GFW
Mata Atl�ntica,93031.90727010416,2017,GFW
Pampa,5192.81016726103,2017,GFW
Pantanal,67.49697495710785,2017,GFW
Amaz�nia,29729.865120484064,2018,GFW
Caatinga,8719.9078921875,2018,GFW
Cerrado,44736.5811264277,2018,GFW
Mata Atl�ntica,53663.340456936276,2018,GFW
Pampa,3518.01301625,2018,GFW
Pantanal,23.881215625,2018,GFW
Amaz�nia,29589.579364589466,2019,GFW
Caatinga,6335.3326840379905,2019,GFW
Cerrado,49458.9606816054,2019,GFW
Mata Atl�ntica,55178.5719082598,2019,GFW
Pampa,3603.63071814951,2019,GFW
Pantanal,0.0,2019,GFW
Amaz�nia,26579.557668737747,2020,GFW
Caatinga,7988.3532515625,2020,GFW
Cerrado,58221.17054132966,2020,GFW
Mata Atl�ntica,58400.97838602941,2020,GFW
Pampa,3161.5308431678923,2020,GFW
Pantanal,1.3113570098039216,2020,GFW
Amaz�nia,21518.14346764093,2021,GFW
Caatinga,7868.1033890625,2021,GFW
Cerrado,49689.4267223223,2021,GFW
Mata Atl�ntica,58596.32778327818,2021,GFW
Pampa,3784.333352769608,2021,GFW
Pantanal,0.0,2021,GFW
Amaz�nia,23855.94654821691,2022,GFW
Caatinga,7565.91548973652,2022,GFW
Cerrado,58692.835286053916,2022,GFW
Mata Atl�ntica,49764.8363661826,2022,GFW
Pampa,3500.5633455698526,2022,GFW
Pantanal,0.0,2022,GFW
Amaz�nia,20604.134543841912,2023,GFW
Caatinga,6940.621709252451,2023,GFW
Cerrado,76633.01196366422,2023,GFW
Mata Atl�ntica,54498.216089301466,2023,GFW
Pampa,2791.751984375,2023,GFW
Pantanal,0.0,2023,GFW
