Biome,Deforestation Area (ha),Year or Range,Dataset
Amaz�nia,16356.07482925858,2010,Mapbiomas
Caatinga,15275.277235300246,2010,Mapbiomas
Cerrado,169006.53500629903,2010,Mapbiomas
Mata Atl�ntica,36077.20641441176,2010,Mapbiomas
Pampa,88802.80997018995,2010,Mapbiomas
Pantanal,30.79692738970588,2010,Mapbiomas
Amaz�nia,12468.524067389706,2011,Mapbiomas
Caatinga,18130.357712334557,2011,Mapbiomas
Cerrado,110735.8944886887,2011,Mapbiomas
Mata Atl�ntica,28197.16055371323,2011,Mapbiomas
Pampa,96437.65180580268,2011,Mapbiomas
Pantanal,46.7208640625,2011,Mapbiomas
Amaz�nia,22948.654340036766,2012,Mapbiomas
Caatinga,19136.320022058822,2012,Mapbiomas
Cerrado,293344.7182390074,2012,Mapbiomas
Mata Atl�ntica,30660.40072419118,2012,Mapbiomas
Pampa,94705.14587052696,2012,Mapbiomas
Pantanal,0.0,2012,Mapbiomas
Amaz�nia,44503.77347121936,2013,Mapbiomas
Caatinga,26938.962781544113,2013,Mapbiomas
Cerrado,196324.99867264094,2013,Mapbiomas
Mata Atl�ntica,43083.089798210785,2013,Mapbiomas
Pampa,113634.38404852331,2013,Mapbiomas
Pantanal,140.35837602941174,2013,Mapbiomas
Amaz�nia,48066.011461593145,2014,Mapbiomas
Caatinga,21410.5875171875,2014,Mapbiomas
Cerrado,156522.17420664217,2014,Mapbiomas
Mata Atl�ntica,44628.818367107844,2014,Mapbiomas
Pampa,105856.61261547795,2014,Mapbiomas
Pantanal,46.842371875,2014,Mapbiomas
Amaz�nia,63733.54899833333,2015,Mapbiomas
Caatinga,37091.52271383578,2015,Mapbiomas
Cerrado,170158.10585492646,2015,Mapbiomas
Mata Atl�ntica,57019.4876580331,2015,Mapbiomas
Pampa,110101.22580838237,2015,Mapbiomas
Pantanal,189.2668392095588,2015,Mapbiomas
Amaz�nia,43806.552595612746,2016,Mapbiomas
Caatinga,19135.620191004902,2016,Mapbiomas
Cerrado,86766.21700041054,2016,Mapbiomas
Mata Atl�ntica,26865.65039409314,2016,Mapbiomas
Pampa,74797.86391239584,2016,Mapbiomas
Pantanal,218.09192895220588,2016,Mapbiomas
Amaz�nia,37559.40633519608,2017,Mapbiomas
Caatinga,31176.841587132352,2017,Mapbiomas
Cerrado,85760.24442777573,2017,Mapbiomas
Mata Atl�ntica,23837.15451256128,2017,Mapbiomas
Pampa,75555.9550318321,2017,Mapbiomas
Pantanal,140.4964640625,2017,Mapbiomas
Amaz�nia,27139.967968731617,2018,Mapbiomas
Caatinga,13425.233317916667,2018,Mapbiomas
Cerrado,72596.80595832109,2018,Mapbiomas
Mata Atl�ntica,27830.47082721201,2018,Mapbiomas
Pampa,68095.45676976103,2018,Mapbiomas
Pantanal,23.3532359375,2018,Mapbiomas
Amaz�nia,33435.630696819855,2019,Mapbiomas
Caatinga,23538.468203756125,2019,Mapbiomas
Cerrado,80287.9450438603,2019,Mapbiomas
Mata Atl�ntica,32582.471834252447,2019,Mapbiomas
Pampa,68626.55475256128,2019,Mapbiomas
Pantanal,0.0,2019,Mapbiomas
Amaz�nia,19815.403544215686,2020,Mapbiomas
Caatinga,16567.2086515625,2020,Mapbiomas
Cerrado,53081.07922327819,2020,Mapbiomas
Mata Atl�ntica,11215.721323946078,2020,Mapbiomas
Pampa,33360.56871661152,2020,Mapbiomas
Pantanal,0.0,2020,Mapbiomas
Amaz�nia,19269.011228045343,2021,Mapbiomas
Caatinga,4570.1801546875,2021,Mapbiomas
Cerrado,11091.937926305147,2021,Mapbiomas
Mata Atl�ntica,5032.173360784313,2021,Mapbiomas
Pampa,18039.881282365197,2021,Mapbiomas
Pantanal,46.6677,2021,Mapbiomas
Amaz�nia,19700.46512778799,2022,Mapbiomas
Caatinga,3280.9372256678926,2022,Mapbiomas
Cerrado,21306.22256898897,2022,Mapbiomas
Mata Atl�ntica,10701.572579914215,2022,Mapbiomas
Pampa,17696.423001531864,2022,Mapbiomas
Pantanal,80.27923981004902,2022,Mapbiomas
Amaz�nia,32670.85840717525,2023,Mapbiomas
Caatinga,4610.6144046875,2023,Mapbiomas
Cerrado,19922.81519978554,2023,Mapbiomas
Mata Atl�ntica,8234.100948382353,2023,Mapbiomas
Pampa,18388.40124134191,2023,Mapbiomas
Pantanal,46.6867125,2023,Mapbiomas
